full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,bmi
Robert Williams,74,#44,Boston Celtics,F-C,1997-10-17,2.03,107.5,1937520,USA,2018,1,27,Texas A&M,NBA2k20,26.0865344948919
Christian Wood,74,#35,Detroit Pistons,F,1995-09-27,2.08,98.0,1645357,USA,2015,0,0,UNLV,NBA2k20,22.65162721893491
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,2000-05-23,2.11,99.8,4862040,USA,2019,1,8,Texas,NBA2k20,22.416387772062624
Rui Hachimura,74,#8,Washington Wizards,F,1998-02-08,2.03,102.1,4469160,Japan,2019,1,9,Gonzaga,NBA2k20,24.776141134218257
OG Anunoby,73,#3,Toronto Raptors,F-G,1997-07-17,2.01,105.2,2281800,United Kingdom,2017,1,23,Indiana,NBA2k20,26.038959431697243
Dwayne Bacon,73,#7,Charlotte Hornets,G,1995-08-30,1.98,99.8,1618520,USA,2017,2,40,Florida State,NBA2k20,25.456586062646668
DeAndre Bembry,73,#95,Atlanta Hawks,F,1994-07-04,1.96,93.9,2603981,USA,2016,1,21,Saint Joseph's,NBA2k20,24.44294044148272
Jonah Bolden,73,#0,Phoenix Suns,F,1996-01-02,2.03,97.5,1788296,Australia,2017,2,36,UCLA,NBA2k20,23.65988012327405
Sterling Brown,73,#23,Milwaukee Bucks,G,1995-02-10,1.96,104.3,1618520,USA,2017,2,46,SMU,NBA2k20,27.150145772594755
Bruce Brown,73,#6,Detroit Pistons,G,1996-08-15,1.93,86.2,1416852,USA,2018,2,42,Miami (Florida),NBA2k20,23.14156084727107
Troy Brown,73,#6,Washington Wizards,F-G,1999-07-28,1.98,97.5,3219480,USA,2018,1,15,Oregon,NBA2k20,24.869911233547597
Alec Burks,73,#0,Philadelphia 76ers,G,1991-07-20,1.98,88.5,2320044,USA,2011,1,12,Colorado,NBA2k20,22.574227119681666
